番名,标签,总播放,追番人数,弹幕总数,开播时间,话数,声优,简介
战斗女子高校,校园+战斗+魔法+游戏改,179.8万,20.7万,3.1万,2017年7月开播,已完结， 全12话,本渡楓、洲崎綾、下地紫野、雨宮天、佐倉綾音、東山奈央、上坂すみれ、早見沙織、内山夕実,星守——由接受人们的思念而耸立的御神木“神树”所选出的18位少女。她们身为神树峰女学园的学生，过着热闹的学校生活，另一方面，身穿神树授予的“星衣”，为了从威胁和平的神秘侵略者“伊洛斯”手中保护地球而战！
战刻夜想曲,乙女+游戏改,161.4万,20.6万,3.1万,2017年10月开播,连载中， 每周二 23:00更新,花江夏树、佐佐木喜英、武内骏辅、逢坂良太、山本一庆、森川智之、岛崎信长、小林裕介,《战刻夜想曲》是一款描述生存在日本战国乱世中的武将们，为了主角（玩家）而展开激烈战斗的 “战国恋爱幻想游戏”，可以与之恋爱的军队包括织田军、丰臣军、上杉军、武田军、真田军和伊达军。由“OTOMATE”的6名知名插画师担任各军队角色设计，英勇又俊美的武将们让游戏更加充满吸引力。
结城友奈是勇者 鹫尾须美之章&勇者之章,百合+少女+魔法+原创,119.9万,20.6万,1.9万,2017年10月开播,连载中， 每周六 03:25更新,照井春佳、三森铃子、内山夕实、黑泽朋世、长妻树里、三森铃子、花泽香菜、花守由美里、佐藤利奈,故事发生在神世纪300年，主要讲述结城友奈是初中2年级学生，她天天在学校里过着与很多朋友一同听课、进行社团活动、玩耍的平稳生活。不管怎么看这都是非常普通的女孩的生活日程，但是只有一点与其他孩子决定性不同的地方，那就是她所属的名为“勇者部”的社团活动。以部长犬吠埼风为中心的该社团的活动内容与被谜团包围的叫做Vertex的不可思议的存在有关系，本作正是以描写友奈等人的“勇者部”的活动为主。
猫物语（黑）,奇幻+声控+轻改+神魔,212.6万,20.5万,4.6万,2012年12月开播,已完结， 全4话,神谷浩史、堀江由衣、井口裕香、喜多村英梨、櫻井孝宏、坂本真綾,"黄金周的第一天，阿良良木历和班长羽川翼一起埋葬了一只被车碾过，没有尾巴的猫。这本应是一件的普通事，但却成为了""噩梦般的九天""的开幕.……《猫物语（黑）》是“西尾维新动画计划”中，《物语系列》动画化的第三作。作为《化物语》的前传，讲述的是阿良良木历初识小忍，和在黄金周里羽川翼被魅惑猫附身的故事，预定全4话的动画版，将于日本时间12月31日在TOKYO MX、BS11和NICONICO生放送进行长达2小时的同步连播。"
只要你说你爱我,少女+日常+恋爱,423.8万,20.4万,22万,2012年10月开播,已完结， 全13话,茅野愛衣、櫻井孝宏、寿美菜子、内山夕実、種田梨沙、島﨑信長、前野智昭、飯田友子,「只要你说你爱我」主要讲述了小时候曾遭受朋友背叛的橘梅，在这16年来从未交过男朋友，甚至连朋友也没有。独来独往的个性导致她成了同学们欺负的对象，而在阴错阳差的情况下，她结识了学校里最受欢迎的男生黑泽大和。对于梅毫无所惧的个性大和相当欣赏，丝毫没有在意他人眼光的他开始主动与梅接触。因为大和随和的个性与古道热肠，梅也开始逐渐卸下了心防并与大和交往的过程中重新认识了这个世界以及周围的人事物。 
搞笑漫画日和,泡面+搞笑,281.8万,20.3万,2.6万,2005年2月开播,已完结， 全12话,前田剛、内藤玲、前田剛、竹本英史、前田剛、佐藤なる美、うえだゆうじ,《搞笑漫画日和》是一部没有条理的超搞笑漫画，2005年被电视动画化，并附有“增田幸助剧场”这个副标题。基本上是每话完成一个故事，不过因为长度不同，也有二、三话作为一回登载，以及一话定为前篇、后编的形式。这是一部在幽默漫画中非常有名的作品，以其特有的对名人名作的滑稽戏仿，得到了读者们高度的评价。
笑面推销员NEW,漫改,349.5万,20.2万,8.1万,2017年4月开播,已完结， 全12话,玄田哲章,本次的TV动画版保存了原作的风格，并以单个故事1话完结的形式，合成现代版「笑面推销员」。在这个充满压力的社会有着各种烦恼的嘉宾角色会在各话登场，也将有豪华的声优阵容。藤子(A)表示「我年纪已经老了很多，但丧黑却越来越容光焕发。他这次又将如何表现!?让我们拭目以待!」。
伪恋 OAD,后宫+少女+校园,344.3万,20.1万,12.4万,2014年10月开播,已完结， 全4话,关根明良、内山昂辉、东山奈央、阿澄佳奈、小松未可子、花泽香菜、堀江由衣、樱井孝宏、大地叶,随《伪恋》单行本发售的OVA·OAD，共4话。第一话为漫画单行本第14卷的同捆OVA，内容改编自原作第58话《丢失》和第64话《巫女小姐》。第二话为漫画单行本第16卷的同捆OVA，内容改编自原作第65话《酒后吐真言》和第71话《兼职》。第三话为漫画单行本第17卷的同捆OAD，改编自原作第81话《澡堂》。第四话为漫画单行本第21卷的同捆OAD。
稻荷恋之歌,少女+奇幻+恋爱,375.1万,20万,16.4万,2014年1月开播,已完结， 全11话,大空直美、佐土原かおり、岡本寛志、桑島法子、三上枝織、磯辺万沙子、子安武人、池辺久美子、野水伊織,本作舞台发生在京都伏见。从小就一直相信神明存在的伏见伊奈里，某天早上救了一只快掉进河里的小狗。后来，当伊奈里正为失恋难过的时候，之前被她所救的小狗再次出现在她的面前。其实这只小狗是神明的使者，而小狗的主人为了答谢伊奈里，答应实现她一个愿望……
境界的彼方 -I'LL BE HERE- 未来篇,日常+治愈+奇幻,173.3万,20万,10.8万,2015年4月开播,已完结， 全1话,種田梨沙、KENN、鈴木達央、茅原実里、川澄綾子、山冈百合、渡辺明乃、松風雅也,【本片翻译由幻之字幕组提供】本片于2015年4月25日于日本上映，延续了TV版剧情一年后的事。一年后，栗山未来同学复活后失去记忆。秋人同学在新学期为着栗山同学的未来着想，开始疏远栗山同学，在新的战斗中栗山同学再次表明自己对秋人同学的情感，他们对未来又将会作出如何选择。
RWBY 第二季,奇幻+战斗,861.6万,19.9万,24.3万,2014年7月开播,已完结， 全12话,Barbara Dunkelman、Arryn Zech、Kara Eberle、Lindsay Jones..,酷炫狂霸拽的四位女主飒爽回归！《RWBY》二期动画将会有新角色登场，在最初的四部前导预告片中出现的反派角色也将再度现身，剧情发展将愈来愈紧凑，而除了校园生活的描写，更多的动作场景也让人值得期待。
在盛夏等待,后宫+科幻+催泪+恋爱+原创,258万,19.9万,7万,2012年1月开播,已完结， 全12话,戸松遥、島﨑信長、石原夏織、荻原秀樹、阿澄佳奈、田村ゆかり、堀江由衣、井口裕香、高森奈津美,夏日的三个月中，热爱摄影、个头矮小的男孩雾岛海人和朋友们打算要拍一部电影，女主角就是神秘转学生三年级的学姊贵月一花，但海人和一花的相遇藏着另一个秘密……天空湛蓝，万里无云。积雨云翻涌，仿佛要将彼岸的山隐藏。这是我们小镇上常见的风景。但是，也是无可替代的“盛夏”。那个男孩有一个模糊的想法，“一无所有却想做点什么”。所以和同伴商量一起拍电影。就在那时，一个“特别”的女孩来到了这个小镇。然后将男孩的想法视为“特别”。男孩的名字是——雾岛海人。女孩的名字是——贵月一花。他们的盛夏开始了。我们在那个盛夏等待——原作 - I*Chi*Ka监督 - 长井龙雪动画制作 - J.C.STAFF
电器街的漫画店,日常+治愈+搞笑+萌系+职场,836.1万,19.8万,29.2万,2014年10月开播,已完结， 全12话,逢坂良太、津田美波、富田貴洋、竹達彩奈、相沢舞、松岡禎丞、高森奈津美、小林优、佐藤聡美,海雄所打工的漫画专卖店“马之骨”，聚集了许多拥有特殊癖好、对某事物异常热衷的怪胎…像是喜欢在脑中模拟如何杀僵尸的萌系腐女，像是调酒般为书迷推荐严选优秀漫画的调酒师……有时忙到快爆肝，有时还要充当漫画家助手，海雄有办法顺利在这里做下去吗？与您分享在漫画店打工的趣味秘辛！本作以虚构的日本某电器街内的书店“BOOKS 马之骨”为舞台，主题是店员们的日常生活。作品中的每个店员都个性鲜明，对于漫画店的描写也让秋叶原的漫画店从业人员们产生共鸣。每话的主题互相独立，随着剧中时间的推进，人物关系也渐渐产生变化。
锁链战记 赫克瑟塔斯之光,游戏改,309万,19.6万,3.3万,2017年1月开播,已完结， 全12话,石田彰、内田真礼、山下大輝、佐倉綾音、豊永利行、内田彩、今井麻美、小岩井ことり、川原慶久,来自深渊的暗黑魔物们“黑之军势”入侵了在盟主“圣王”治理下原本和平的“尤格特”，并一举攻下了“圣王国”的首都——“王都”。“圣王”举各国之力消灭“黑之军势”，然在与“黑之王”的决斗中，“圣王”战死。失去要员的“联合军”随即崩溃，大陆处处魔物肆虐。“主人公”作为“义勇军”的一名战士，走上了与魔物战斗的旅程。在一次战斗中，他救下了一名名为“菲娜”的少女。少女在昏厥之后失去了记忆，后在“比利卡”的建议下为了寻找自己的过去加入了“义勇军”随“主人公”一起冒险。
记录的地平线 第二季,奇幻+装逼+智斗+伪娘,1651.6万,19.5万,31万,2014年10月开播,已完结， 全25话,寺岛拓笃、前野智昭、加藤英美里、中田让治、山下大辉、田村奈央、松井恵理子、柿原徹也、藤井雪代、原由实、高垣彩阳、瑟拉..,热血，友情，冒险，羁绊。看到《记录的地平线》时脑海中自然而然就会蹦出这样的字眼。改变世界绝非虚言，任何时候最重要的是那颗勇敢的心，驱散不安，带着希望，迈向远方！
春宵苦短，少女前进吧,奇幻+恋爱,108.7万,19.4万,1.3万,2017年4月开播,已完结， 全1话,星野源、花泽香菜、神谷浩史、秋山龙次、中井和哉、甲斐田裕子、吉野裕行、新妻圣子、诹部访顺一,古色古香的京都，奇妙的恋爱之旅正在展开。春天，黑发少女踏上寻找伪电气白兰地的夜之旅，学长却被从天而降的锦鲤砸晕；夏天，少女在旧书市寻找心爱的童年绘本，学长则面临残酷的火锅地狱；秋天，身背红鲤鱼的少女化身不倒翁公主，与拼死出演顽固王的学长相遇在学园祭的舞台；冬天，手持梦幻感冒药的少女打倒感冒之神，与学长一起向京都的天空飞去……
花牌情缘,少女+热血+运动+校园+催泪,272.1万,19.4万,15.4万,2011年10月开播,已完结， 全25话,瀬戸麻沙美、細谷佳正、宮野真守、茅野愛衣、奈良徹、代永翼、中道美穂子,【本片翻译由流云字幕组提供】漫画原作「花牌情缘」是由末次由纪创作，连载于「BELOVE」的少女漫画。故事主要讲述女主角绫濑千早与喜欢歌牌的少年绵谷新相遇后终于有了属于自己的梦想，而千早的青梅竹马真岛太一也被新和千早所影响，开始对歌牌热衷起来。然后三人因各种原因各奔东西，而将他们紧紧联系在一起的便是歌牌，他们约定“只要继续玩歌牌，总有一天还是会见面”，故事就是讲述了他们丰富多彩的竞技歌牌旅程……
荒川爆笑团,日常+搞笑+声控,62.1万,19.3万,2.4万,2010年4月开播,已完结， 全13话,坂本真綾、神谷浩史、斎藤千和、沢城みゆき、杉田智和、小林ゆう、小見川千明、大塚芳忠、藤原啓治,荒川爆笑团（日语：荒川アンダー ザ ブリッジ，又名：荒川Under The Bridge），是中村光的日本漫画作品。作品于YOUNG GANGAN的2004年创刊号开始连载，并于2010年4月改编为电视动画，同年10月拨放第二季。这部电波系喜剧讲述了世界顶级企业的社长独生子小招（真名是市之宫行），某日因为溺水而被荒川河畔的流浪美少女小珊救了一命，坚持“有恩必报、不欠人情”的家训的小招决定留在荒川河畔来报答小珊的救命之恩，可小珊提出的要求竟然是“和我谈恋爱吧”……两人就此在荒川河畔展开一段同居生活，上演一出夸张、搞笑、温馨且不可思议的故事。
肯普法,后宫+校园+战斗+声控,272万,19.3万,8.9万,2009年10月开播,已完结， 全12话,井上麻里奈、堀江由衣、名塚佳織、中島愛、阿澄佳奈、三上枝織、川原庆久、田村ゆかり、野村道子、水樹奈々..,故事讲述了平凡的男高中生濑能名津流，某天早上醒来时发现自己竟变成了超正点的美少女！从班上的偶像沙仓枫借来的诡异玩偶口中，名津流得知自己被选作名为“肯普法”的战士，并且将和世界上的“肯普法”战士战斗……
暗芝居 第五季,泡面+猎奇,567.7万,19.2万,5.3万,2017年7月开播,已完结， 全13话,,"这是一部以""数码纸芝居""形式制作的恐怖动画，将用昭和风格的纸芝居艺术来讲述各种都市怪谈，为你的夏夜增添别样回忆。所谓纸芝居（连环画剧，幻灯片剧）是一种一边给小孩子看幻灯片一边讲故事的表演形式，在电视机未普及的昭和初期在日本得到广泛发展。“数码纸芝居”顾名思义即是将这种传统艺术搬到电视中的一种尝试。"
Dance with Devils,后宫+校园+乙女,395.4万,19.2万,29万,2015年10月开播,已完结， 全12话,茜屋日海夏、齐藤壮马、羽多野涉、近藤隆、木村昴、平川大辅、山村响、松田利冴,有些复古风味的街道·四皇町。住在那里的立华律香，是位就读于四皇学园高中二年级的少女。她期待着去英国留学的哥哥·林多偶尔的联络，和母亲一起过着平稳的日常生活。某天，她被众多学生所憧憬的学生会长·钩贯雷姆叫了出来，在学生会成员集合的“第三图书馆”展开了一场不可思议的邂逅。恶魔、吸血鬼、驱魔师。围绕着“禁断的魔导书”，各种思绪开始转动——是人，还是恶魔？这是被魔所魅惑、被魔所爱的，一位少女的物语。
灼眼的夏娜III -Final-,热血+奇幻+战斗+轻改+神魔,240.7万,19.1万,22.9万,2011年10月开播,已完结， 全24话,釘宮理恵、日野聡、江原正士、伊藤静、野島裕史、三宅健太、能登麻美子、生天目仁美、茅野愛衣,新学期刚开始，高中生·坂井悠二一如往常过着“日常生活”。然而有一天，他冷不防遭遇红世之王手下的侵袭。受到一名能够把人的存在化为灵火，并吸取灵火的神秘男子法利亚格尼的攻击。悠二的“日常”生活因此整个脱节，然而就在同一时间，一名少女出现在他面前。少女为了保护悠二不被法利亚格尼袭击，开始与悠二一同生活。悠二满怀感激向少女道谢，不料少女却如此低喃：“你已经不存在了。”我已经死了？存在丧失者·悠二为何还能够思考呢……
纯白交响曲,后宫+日常+游戏改,350.1万,19万,22.1万,2011年10月开播,已完结， 全12话,力丸乃りこ、吉田真弓、壱智村小真、後藤麻衣、小野涼子、水島大宙、瑞沢渓、櫻井浩美、櫻井浩美,男主角瓜生新吾是“各务台学园”的普通学生。不过该学校由于各种原因的关系，在新学期开始的时候将同名叫“结姬女子学园”的名门女校进行合并。为了让学生能够更加融洽地相处，校方在新学期开始之前实行了试行合并，包括新吾在内的数十名各务台学园生试验性地到结女学园上学。而男生的出现也在女校引发了不小的骚动，众多个性丰富的妹子们也扎堆似的出现在了男主角的面前。那么包围在后宫般的环境当中，新吾又将从何选择呢……《纯白交响曲》（ましろ色シンフォニー）是日本游戏公司palette（ぱれっと）于2009年10月30日发售的美少女游戏，含有副标题的的全名是《ましろ色シンフォニー -Love is pure white-》。于2011年由Manglobe公司出品。自2011年10月4日起播映。共播放12集（已完结）。
八犬传-东方八犬异闻- 第一季,奇幻+基腐,269.5万,19万,15.9万,2013年1月开播,已完结， 全13话,柿原徹也、日野聡、高垣彩陽、岡本信彦、神谷浩史、前野智昭、寺島拓篤、三宅淳一、三木眞一郎,五年前，大冢村一夜之间瘟疫流行，周围的村庄为了防止疫病蔓延，一把火烧毁了整个大冢村。大冢村的三个孩子，犬冢信乃、犬川庄介以及滨路得以幸存。三人被教会收养，并在别的村庄中过着平静的生活。而在大冢村事件中获得了特殊的能力的信乃和庄介，则一直不明原因地被帝国教会总部寻找。大冢村事件发生的五年后，终于寻觅到信乃与庄介踪迹的教会总部，为了引诱两人来帝都，竟然带走了滨路……
温暖的印记,恋爱,355.2万,19万,1.4万,2016年6月开播,已完结， 全10话,入野自由、濑户麻沙美,故事主要讲述了情侣之间各种甜甜萌萌的日常生活，那些美好的记忆，在每一次回想的时候都忍不住微笑、流泪、感动，让人感觉到，原来快乐和幸福是这么简单的事情。
姐姐来了,后宫+日常,742.9万,18.9万,3.8万,2014年1月开播,已完结， 全13话,愛美、長妻樹里、木戸衣吹、南央美、井上麻里奈、小林优、富樫美鈴、森沢芙美、浜田賢二,某日，由于父亲再婚而多了“姐姐”的水原朋也（13岁）面前出现了超级弟控水原一香（17岁）！作为弟控的水原一香身边还有形形色色的同学们，最高最强的抖S琉璃，爆乳宅女麻里奈！于是水原朋也一边觉得姐姐的爱好沉重一边与“姐姐们”展开了丰富多彩的生活喜剧！
灼眼的夏娜II -Second-,热血+奇幻+校园+战斗+轻改,238.8万,18.8万,30.3万,2007年10月开播,已完结， 全24话,日野聡、釘宮理恵、乃村健次、間宮康弘、諏訪部順一、升望、松原大典、皆川純子、清川元夢,《灼眼的夏娜》TV第二季的故事将从小说第八卷开始，以红世之徒·“戏睡乡”梅亚入侵御崎市作为开篇。据监督渡部高志所说，故事会对第一季的一些伏笔作出解释。第二季STAFF和声优会由原班人马担任，“钉宫之誓”依旧强势走高。夏天结束后，新学期开始了许多事物没有任何变化，但是同时也有不少事情逐渐发展着…池和吉田，绪方和田中之间产生了些许微妙的关系还有在我身旁，飘逸着长发的夏娜…但是，这一切似乎有着一丝奇怪的违和感在我们所不知道的地方，红世之徒再次展开了行动…
将国之天鹰星,战斗+漫改,286.8万,18.7万,4.9万,2017年7月开播,连载中， 每周六 03:00更新,村瀬歩、古川慎、KENN、小西克幸、津田健次郎、緒方賢一、諏訪部順..,并非此处的世界，并非此时的时代。被称作将军的执政者们所治理的草原与沙漠的国度·土耳基将国。12年前，在与邻国·巴尔特兰帝国之间的战争中失去母亲的玛法姆特，期盼着和平的国家，而成为了土耳基史上最年轻的将军。但，随着土耳基因交易获得巨万财富而取回了安宁，帝国的侵略再度开始了。与搭档犬鹫·伊斯卡达尔一起，为了粉碎席卷国家之间的阴谋与策略而行动的玛法姆特，究竟要如何将自己的祖国导向和平？——在理想与现实的夹缝中，他所采取的行动是……？
魔笛MAGI,奇幻+战斗+漫改,235.4万,18.7万,17.4万,2012年10月开播,已完结， 全25话,石原夏織、梶裕貴、戸松遥、森川智之、小野大輔、花澤香菜、小野賢章、木村良平、福山潤,在这片不可思议的大陆上，出现了沉眠着秘宝的神秘遗迹──“迷宫”。少年阿拉丁在旅行世界各地的途中，邂逅了阿里巴巴，两人为了寻求秘宝，共同以攻略“迷宫”为目标。反覆经历了各式各样的相遇与别离，阿拉丁将得知自身的宿命......マギMAGI是由地上最强新娘的作者大高忍于《周刊少年Sunday》2009年27号开始连载至今的一部少年漫画。截至2013年2月，已出版单行本16卷。动画版由A-1 Pictures制作，于2012年10月开始在日5档播出。部分登场人物的名字来源于《一千零一夜》。故事以中东为故事背景，展开的魔法和宝藏的冒险之旅。香港玉皇朝出版的单行本译名：地上最强阿拉丁——魔奇台湾尖端出版的单行本译名：魔奇少年中国大陆于《龙漫少年星期天》自2012年1月上半月号起连载，译名：天方魔谭MAGI
當不成勇者的我，只好認真找工作（僅限港澳台地區）,,351万,18.6万,10.1万,2013年10月开播,已完结， 全12话,田所あずさ、河本啓佑、岩崎可苗、島形麻衣奈、川原慶久,魔王竟然在勇者测验前夕被打倒，导致少年劳尔没能成为勇者。梦想被破坏的他，就此过上了在王都某处的魔法商店工作的日子。直到某一天，一个拿着骇人履历书前来找工作的人出现在了店里——“虽然劳尔被指派为魔王之女·菲诺的指导，但是——“敬语这种东西，是能让人感到温馨的说话方式哦”“哇哈哈哈哈。真亏你们能寻着我的镭射波找到这里来啊，这群客人！”“停下！停下！先冷静一下吧。”原想成为勇者之人与魔王之女编织出的，爆笑工作喜剧！！
恶魔阿萨谢尔在召唤你 第一季,搞笑+猎奇+声控,690.5万,18.5万,10.5万,2011年4月开播,已完结， 全13话,小野坂昌也、浪川大輔、神谷浩史、佐藤利奈、釘宮理恵、草尾毅、玄田哲章、中井和哉、小林优,芥边侦探事务所，最强的无敌恶魔使芥边以及工读生助手佐隈，依照委托人的要求，召唤出恶魔来执行被委托案件。然而，召唤出来的恶魔虽然每个都赫赫有名，但每个却也都有着奇妙的中二病性格，让每次的案件都不是这么的顺利……原作在日本青年向双周刊《EVENING》上连载，作品中恶搞了许多同杂志作品。
人形电脑天使心,少女+日常,200.2万,18.5万,19.3万,2002年4月开播,已完结， 全28话,田中理恵、杉田智和、関智一、折笠富美子、桑島法子、井上喜久子、豊口めぐみ、柚木涼香、うえだゆうじ,在不久的将来，电子技术飞速发展，电脑，成为人们生活中不可或缺的一部分。以美少女为造型的个人电脑：电脑女郎更是男性们梦寐以求的「女性」。主角的名字是本须和秀树，是个18岁的少年（大学入学考试失败，正在准备再次考取学校的人），他在一间居酒屋‘乐意之至’打工，每天过着贫穷潦倒的生活。有一天，他很好运的在垃圾堆捡到一位最新型的电脑女郎，原来「她」就是秀树一直渴望拥有的个人电脑。秀树抱着她返回家中，从此一段搞笑而感人的生活开始了·.....
薄樱鬼,少女+历史+声控+乙女+神魔,152万,18.4万,9.7万,2010年4月开播,已完结， 全12话,桑島法子、三木眞一郎、森久保祥太郎、大川透、飛田展男、津田健次郎、吉野裕行、鳥海浩輔、遊佐浩二,薄樱鬼即指土方岁三。此名为游戏土方线结尾土方与风间决战前风间所起。薄樱意为如樱花般绚烂而又转瞬即逝；鬼则指土方身为人类，却始终坚持贯彻自身信念，高洁之心令人钦佩，拥有能与鬼族平起平坐的强大实力与内心（风间是鬼族，一直对自己的鬼族身份感到骄傲，视罗刹为不伦不类的“伪物”）。其实新选组众成员又有哪个不是如此呢？
DAYS,热血+运动+校园,598.7万,18.4万,17.7万,2016年7月开播,已完结， 全24话,吉永拓斗、松冈祯丞、浪川大辅、伊瀬茉莉也、佐仓绫音、小西克幸、樱井孝宏、小野大辅、宫野真守,电视动画《DAYS》改编自日本漫画家安田刚士原作的同名漫画。在《周刊少年Magazine》（讲谈社）2016年7号上，发表了TV动画化的决定
Room Mate,泡面+乙女+原创,178.7万,18.4万,1.9万,2017年4月开播,已完结， 全12话,前野智昭、花江夏樹、鳥海浩輔,本作是动画《One Room》的女性向版本。
爱杀宝贝 日语版,日常+搞笑+萌系,464.7万,18.2万,20.7万,2012年1月开播,已完结， 全13话,田村睦心、釘宮理恵、高部爱、赤﨑千夏、旁白,"表面上看来，索尼娅是一个扎着双马尾的金发美少女高中生，但实际上，她有着一个秘密的身份——杀手。作为一名杀手，索尼娅有着异常敏锐的神经，任何突然靠近她的生物，都会受到她的强力攻击。少女折部安奈自称是索尼娅的朋友，但似乎没有得到索尼娅的认可。因为其大大咧咧的天然呆个性，安奈经常成为索尼娅本能攻击的受害者。在无意间，安奈发现，虽然索尼娅是个令人闻风丧胆的杀手，但她在昆虫和妖怪方面却有着意外小的胆量，这也成为了拉近二人关系的重要契机。同时，索尼娅的杀手同事吴织亚切，毫无存在感的不知名少女也来到了安奈的身边，杀手和少女们热闹的日常生活展开了。《爱杀宝贝》是一部由日本漫画家カヅホ创作的四格漫画。 2008年1月首次刊登在芳文社的漫画月刊《Manga Time kirara Carat》上。同年7月正式连载，目前仍在连载中，单行本发行了3卷。英语的作品副标题为“Baby, please kill me.”。一击必杀笑技百出，小心接招！乍看之下只是名普通高中生的索妮娅，本业竟是杀手！而天不怕地不怕的天然呆少女安奈总爱缠着她！"
失忆症,致郁+奇幻+乙女,166.6万,18.1万,7.3万,2013年1月开播,已完结， 全12话,名塚佳織、柿原徹也、谷山紀章、石田彰、日野聡、宮田幸季、五十嵐裕..,在类似近现代的架空国度，8月1日这天早上，醒来的女主人公，发现自己失去了所有记忆。突然出现在女主人公面前的精灵，来到人类世界的过程中与主角的意询冲突被困在女主人公心中，要如何取回自己的记忆呢？而手机上传的短信显示着似乎应该是恋人的名字，接下来该何去何从呢？电视动画《AMNESIA失忆症》是根据同名PSP游戏改编的乙女向动画。
罪恶王冠 SP,热血+奇幻+战斗,295.7万,18.1万,7723,2011年10月开播,已完结， 全11话,津田美波、梶裕貴、渡辺明乃、中村悠一、茅野愛衣、茅野愛衣、内山昂輝、嶋村侑、花澤香菜,处于无政府状态的日本，受到了由超国家之间所组织成的名为“GHQ”的组织的武力介入并接受其统治，东京的六本木更成为被封锁的地区。之后又以名为“lost christmas（失落的圣诞）”的事件为契机，日本失去了独立国家的实质权力，并被赋予了表面上的自治权，由此人们开始享受短暂的和平。时光流逝，10年后的2039年。少年樱满集——怀抱着抑郁的心境，并对世间冷眼相待——在天王州第一高校就读的高中二年生，与同学们保持着一定距离的同时，度过着闲散而又平静的日子。然而集安稳的日常在某一天突然宣告结束。那天放学后，在自己中意的老地方和一名少女不期而遇。少女名为楪祈。她正是集所憧憬，并在网上有着巨大影响力的歌手。而她也有不为人知的一面。祈正是由17岁青少年恙神涯所率领的“葬仪社”——一个在被封锁的城市中歌颂着从”GHQ“手中得到”日本的解放“而赌上性命不断孤独地战斗着的抵抗组织——的成员之一。集在祈与涯引导之下，与葬仪社而发生了关联。尔后因为关系紧迫获被女主使用了虚空基因组，他的右手上出现了“王之刻印”。通过刻印，集可以自在地从人的身体里抽取出名为“void（虚空）”的物质，并以借此为武器..
真实之泪,治愈+致郁+校园+恋爱+游戏改,130.7万,18万,9.4万,2008年1月开播,已完结， 全13话,井口裕香、石井真、高垣彩陽、名塚佳織、吉野裕行、渡辺智美、高橋理恵子、藤原啓治、増田裕生,《真实之泪 true tears》是由P.A.WORKS所制作的日本的电视动画作品。本作自2008年1月开始播放，以富山县为舞台（担当动画制作的P.A.WORKS社址就在富山县南砺市），角色和剧情均为原创。DVD于2008年发售，Blu-ray BOX则是预定于2010年3月26日发售。故事以插画家为梦想的高中生－仲上真一郎，与真一郎同居的同学－汤浅比吕美(被仲上家领养)，平时与真一郎的父母过著四人的家庭生活。某日，真一郎在学校里遇见了爬到树上却下不来的女孩－石动乃绘，还对真一郎说了些不可思议的话。自从这次的相遇，使得真一郎与比吕美、乃绘、好友野伏三代吉、童年玩伴安藤爱子之间的关系开始产生微妙的变化。故事描写着他们在各自的苦恼中下定决心而成长，是一部青涩的校园恋爱剧。
宇宙警探elDLIVE,热血+科幻+校园+战斗+漫改,216.5万,18万,3.6万,2017年1月开播,已完结， 全12话,村瀬歩、早見沙織、鈴木達央、釘宮理恵、小林大紀、飯田里穂、Lynn、松岡禎丞,「宇宙警探elDLIVE」是以能听到其他人听不到的声音，被人当成怪人的中学生九之濑宙太为主角，讲述他成为宇宙警察并在与犯罪者的交锋中成长的故事。
巴哈姆特之怒 VIRGIN SOUL,奇幻+战斗+魔法,508.9万,18万,10.8万,2017年4月开播,已完结， 全24话,井上剛、吉野裕行、諸星すみれ、梅原裕一郎、沢城みゆき、森久保祥太郎、潘めぐみ、岩崎ひろし、ソフィエ..,这里是，“人”“神”“魔”各种族混杂的神秘世界密斯塔尔希亚。世界免于巴哈姆特复活引发的崩坏，在那之后过了10年——新的“人”之王袭击“神”之神殿，攻陷“魔”之国度。从濒临毁灭的状况得到复兴以及更进一步的发展，王都为“人”带来了财富。作为王都复兴的食粮而沦为奴隶的“魔”，以及随着信仰心的消失而失去力量的“神”。在逐渐失去均衡的世界中，“人”“神”“魔”各自的正义相互交错——
黑色残骸,科幻+战斗+机战,668.2万,17.9万,14.4万,2016年4月开播,已完结， 全26话,阿座上洋平、M·A·O、上田丽奈、濑户麻沙美、石川界人、小林裕介、武内骏辅,立山黑部峡谷在修筑大坝时发现神秘的遗迹。为研究“Artifact”设立了国际联合黑部研究所。世界各国的首脑聚集在研究所员的孩子就读的立山国际高中。研究所长的女儿、白羽由希奈也在这里上学。那是2016年的夏天、一名武士再一次苏醒…
彗星路西法,奇幻,440.5万,17.9万,17.9万,2015年10月开播,已完结， 全12话,小林裕介、大橋彩香、高橋李依、寺島拓篤、諏訪彩花、水瀬いのり、三森すずこ、三..,闪耀着蓝色光辉的矿石“吉夫特矿石”所覆盖的大地，行星吉夫特。宗吾·天城是住在因吉夫特矿石采掘而繁荣的小镇，靛蓝花园的纯朴少年。以收集稀少矿石为乐趣的宗吾，某天被卷入同级生卡恩、罗曼、欧特等人引发的骚动，迷失在矿山深处的地底湖。在那里，宗吾遇到了一位不可思议的少女……随风飘逸的蓝色长发，直直凝视的红色瞳孔。她究竟是什么人，这次邂逅给宗吾带来了什么？随后，缔结的羁绊将打开通往冒险的大门——
